station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
감포연안1_연안,2007-11-01,129.5108333,35.79805556,190.706,33.25,19.35,4.50854,3.2,9.57,7.94,196.768,5.14538,8.27347,41.4056,10.0,88.5509,0.719136,42.0,17.9094
감포연안2_연안,2007-02-01,129.5305556,35.81555556,252.0,33.92,14.09,0.80404,2.8,10.03,8.0,203.0,8.0,9.0,67.0,9.0,86.0,0.38,10.0,19.0
감포연안2_연안,2007-05-01,129.5305556,35.81555556,334.782,33.84,14.88,9.46802,16.8,9.21,8.05,119.433,3.85237,3.073,0.605258,4.0,10.0023,0.639232,5.54472,34.1486
감포연안2_연안,2007-08-01,129.5305556,35.81555556,66.0265,33.15,22.74,1.05316,2.4,8.57,8.03,63.6185,2.2661,0.393975,2.97357,7.0,10.9067,0.519376,5.66703,21.9924
감포연안2_연안,2007-11-01,129.5305556,35.81555556,83.0977,33.24,19.89,0.07268,2.0,9.27,8.05,193.221,6.02516,9.21902,45.218,9.0,72.6067,0.39952,21.3635,23.2915
감포연안3_연안,2007-02-01,129.4883333,35.7075,219.0,33.96,13.07,0.82528,8.6,9.92,7.99,204.0,9.0,8.0,71.0,7.0,99.0,0.74,19.0,23.0
감포연안3_연안,2007-05-01,129.4883333,35.7075,363.876,33.8,13.2,9.08502,7.8,8.9,8.04,132.204,4.97209,4.33372,18.0199,5.0,30.3306,0.759088,7.3386,23.7555
감포연안3_연안,2007-08-01,129.4883333,35.7075,50.7487,33.24,24.4,2.91234,4.2,8.45,8.02,93.4175,2.58602,1.33951,3.5921,7.5,20.9776,0.918896,14.7995,23.106
감포연안3_연안,2007-11-01,129.4883333,35.7075,175.827,33.26,20.91,5.74722,4.0,9.31,8.02,192.038,5.14538,7.01275,34.8364,9.0,95.1844,0.918896,55.2026,24.2195
감포연안4_연안,2007-02-01,129.5005556,35.74638889,128.0,33.96,13.1,0.68608,12.8,10.12,8.05,195.0,7.0,6.0,61.0,8.0,75.0,0.82,8.0,21.0
감포연안4_연안,2007-05-01,129.5005556,35.74638889,406.521,33.81,12.97,8.60998,12.2,8.94,8.05,140.481,4.54553,3.86095,10.3523,5.0,20.198,0.59928,5.3001,24.8691
감포연안4_연안,2007-08-01,129.5005556,35.74638889,75.5917,33.13,23.74,3.0043,3.6,8.49,8.0,118.723,1.97284,0.866745,5.45654,7.0,17.9073,0.639232,10.4779,16.0535
감포연안4_연안,2007-11-01,129.5005556,35.74638889,216.346,33.24,20.04,5.74562,4.8,9.1,8.0,187.544,3.91902,12.5284,32.309,8.0,188.3,0.9988,152.072,37.7676
감포연안H1_항만,2007-02-01,129.5055556,35.80694444,261.0,33.64,11.63,0.5422,10.2,10.29,8.02,314.0,7.0,24.0,113.0,4.0,180.0,0.62,59.0,42.0
감포연안H1_항만,2007-08-01,129.5055556,35.80694444,188.78,32.93,22.03,14.2459,12.48,8.46,7.96,112.101,4.47888,6.06721,52.1408,3.0,129.476,1.23851,72.856,34.2414
강구연안1_연안,2007-02-01,129.4205556,36.38055556,156.0,33.96,11.55,0.24592,5.0,10.39,8.05,201.0,7.0,9.0,67.0,12.0,92.0,0.44,17.0,36.0
강구연안1_연안,2007-05-01,129.4205556,36.38055556,106.014,33.91,14.23,2.82122,6.4,9.92,7.98,20.5755,0.54653,0.866745,8.44693,7.0,25.1384,0.539352,16.1449,15.9607
강구연안1_연안,2007-08-01,129.4205556,36.38055556,42.5784,33.42,21.93,0.42302,7.6,8.38,7.97,81.829,0.95976,3.86095,6.19591,10.0,20.2428,0.659208,13.0872,6.58845
강구연안1_연안,2007-11-01,129.4205556,36.38055556,120.03,33.46,17.39,1.35672,3.4,9.43,8.01,168.152,3.17254,5.90963,44.5906,9.0,93.2624,0.579304,45.4993,16.0535
강구연안2_연안,2007-02-01,129.3975,36.35,150.0,33.92,11.65,0.21516,11.0,10.35,8.09,197.0,7.0,4.0,37.0,16.0,57.0,0.4,14.0,22.0
강구연안2_연안,2007-05-01,129.3975,36.35,140.688,31.74,14.9,3.43378,15.4,9.83,8.08,45.881,2.75931,1.6547,23.0089,8.0,30.1714,1.01878,4.40316,15.404
강구연안2_연안,2007-08-01,129.3975,36.35,30.4891,33.37,22.02,1.0397,5.0,8.5,7.97,72.369,1.01308,3.70337,10.0919,7.0,23.2952,0.219736,12.1902,12.3417
강구연안2_연안,2007-11-01,129.3975,36.35,108.738,33.55,17.61,1.57208,2.4,9.28,7.94,166.26,3.22586,5.59445,45.0065,9.0,59.4033,0.69916,11.171,17.3527
강구연안H1_항만,2007-02-01,129.3905556,36.35666667,398.0,33.03,10.88,0.09354,6.4,10.43,8.01,315.0,9.0,24.0,194.0,4.0,246.0,0.76,43.0,38.0
강구연안H1_항만,2007-08-01,129.3905556,36.35666667,516.454,29.44,22.61,13.5313,15.2,7.91,7.95,653.45,10.5307,12.3708,92.7768,2.0,272.544,0.779064,169.236,20.0
강릉연안1_연안,2007-02-01,128.9616667,37.78166667,92.666,33.05,10.79,1.442,2.6,8.29,8.01,248.999,4.857,12.14,16.099,11.0,41.488,0.646667,20.532,24.159
강릉연안1_연안,2007-05-01,128.9616667,37.78166667,149.148,33.69,14.76,0.974,3.4,8.41,8.16,73.754,3.0,7.692,43.594,10.0,78.201,0.8624,31.607,22.079
강릉연안1_연안,2007-08-01,128.9616667,37.78166667,225.628,33.68,18.56,0.24042,4.4,7.24,7.8,70.075,1.558,4.03,6.42828,9.0,23.1348,0.878944,15.1486,17.0
강릉연안1_연안,2007-11-01,128.9616667,37.78166667,290.111,33.9,15.47,0.499,3.8,7.60273,7.95,299.071,3.217,8.176,31.63,8.0,48.259,1.51818,13.412,21.331
강릉연안2_연안,2007-02-01,128.9555556,37.78,74.489,33.07,10.85,1.396,3.4,8.3,8.0,252.434,4.755,13.927,18.571,11.0,34.821,1.00667,11.495,20.748
강릉연안2_연안,2007-05-01,128.9555556,37.78,175.607,33.74,14.68,1.07,2.6,8.37,8.12,70.425,1.6,9.747,39.881,10.0,69.94,0.9408,28.459,20.87
강릉연안2_연안,2007-08-01,128.9555556,37.78,142.516,33.62,20.6,0.10244,4.2,7.04,7.81,84.7851,4.818,5.526,35.7506,9.0,67.3808,0.559328,26.8122,13.0
강릉연안2_연안,2007-11-01,128.9555556,37.78,133.126,33.85,15.49,0.506,3.6,7.77792,7.95,314.818,3.18,8.358,45.552,9.0,60.845,1.23851,12.113,14.368
강릉연안3_연안,2007-02-01,128.9761111,37.76972222,95.066,33.09,10.82,1.782,3.8,8.06,8.0,339.46,4.399,16.333,45.462,10.0,62.302,0.726667,12.441,35.919
강릉연안3_연안,2007-05-01,128.9761111,37.76972222,149.287,33.67,14.77,0.59,2.2,8.39,8.14,53.77,3.0,9.336,46.308,10.0,77.095,0.7056,27.787,11.664
강릉연안3_연안,2007-08-01,128.9761111,37.76972222,76.971,33.62,19.94,0.21488,3.2,7.16,7.97,63.7295,1.944,5.42,6.04228,8.0,15.0272,1.15861,7.04088,18.0
강릉연안3_연안,2007-11-01,128.9761111,37.76972222,109.763,34.05,16.25,0.422,3.0,8.0299,7.94,286.092,3.748,4.845,24.209,10.0,36.167,0.878944,8.21,26.714
강릉연안4_연안,2007-02-01,128.9316667,37.80638889,150.385,33.1,11.13,1.036,3.2,8.53,8.01,275.495,4.946,11.7,18.592,12.0,38.797,0.83,15.259,23.134
강릉연안4_연안,2007-05-01,128.9316667,37.80638889,146.908,33.7,15.45,0.506,2.2,8.69,8.12,48.276,2.1,8.814,43.713,15.5,77.115,0.93,31.302,9.537
강릉연안4_연안,2007-08-01,128.9316667,37.80638889,158.822,33.41,20.38,0.02264,3.2,7.14,7.77,81.9729,2.272,4.535,21.432,9.0,44.471,1.9177,20.767,24.0
강릉연안4_연안,2007-11-01,128.9316667,37.80638889,128.289,33.86,15.4,0.607,2.2,7.6672,7.97,325.079,4.996,6.958,42.639,7.0,56.101,1.0787,8.466,12.818
강릉연안5_연안,2007-02-01,129.0808333,37.66444444,234.453,33.03,12.22,0.534,2.4,8.83,8.02,322.892,5.669,17.372,16.01,12.0,39.417,0.85,17.738,21.876
강릉연안5_연안,2007-05-01,129.0808333,37.66444444,159.898,33.77,14.73,0.454,2.8,8.22,8.11,86.679,1.2,11.488,41.467,15.0,72.694,0.7056,30.027,12.99
강릉연안5_연안,2007-08-01,129.0808333,37.66444444,172.788,33.78,21.25,0.04462,4.2,6.75,7.92,55.7975,1.154,4.086,5.04811,10.0,38.3484,0.878944,32.1462,16.0
강릉연안5_연안,2007-11-01,129.0808333,37.66444444,180.157,34.04,16.67,0.527,2.8,7.57207,8.01,215.631,3.523,8.388,18.64,10.0,36.163,1.43827,14.0,29.723
강릉연안6_연안,2007-02-01,129.0372222,37.71666667,114.092,33.13,12.29,2.786,2.0,8.72,8.05,154.458,5.793,13.805,25.535,7.0,48.349,0.86,17.021,17.902
강릉연안6_연안,2007-05-01,129.0372222,37.71666667,230.75,33.74,14.19,1.306,4.6,8.23,8.11,74.27,5.0,17.772,42.233,10.0,78.736,1.2152,31.503,23.0
강릉연안6_연안,2007-08-01,129.0372222,37.71666667,187.473,34.22,19.43,1.35972,3.4,7.2,8.04,62.2873,0.707,5.381,10.7627,10.0,22.4933,0.9988,11.0236,16.0
강릉연안6_연안,2007-11-01,129.0372222,37.71666667,162.35,34.03,16.37,0.555,1.8,7.7605,7.96,305.068,3.259,6.428,41.189,11.0,55.761,0.72,11.313,39.0
강릉연안7_연안,2007-02-01,128.9952778,37.75083333,99.116,33.16,12.23,3.312,4.2,8.22,8.07,132.58,5.047,11.899,45.744,12.0,87.809,1.03,37.018,20.988
강릉연안7_연안,2007-05-01,128.9952778,37.75083333,171.317,33.74,14.51,2.028,3.0,8.19,8.13,67.536,3.3,8.0,51.239,9.0,81.37,0.9016,26.831,24.0
강릉연안7_연안,2007-08-01,128.9952778,37.75083333,200.392,33.75,19.52,0.75952,2.0,7.25,8.02,63.0084,0.754,4.818,3.40906,9.0,51.0311,1.47822,46.8681,18.0
강릉연안7_연안,2007-11-01,128.9952778,37.75083333,122.172,33.94,16.18,0.322,3.8,7.65104,7.95,317.579,3.654,7.982,40.082,10.0,48.197,0.559328,4.461,20.532
거제도남안1_연안,2007-02-01,128.5580556,34.81333333,1016.0,33.37,9.06,2.74,4.2,12.13,,122.0,1.0,15.0,96.0,5.0,116.0,0.77,19.0,23.0
거제도남안1_연안,2007-05-01,128.5580556,34.81333333,332.4,34.22,16.74,1.3151,4.0,8.08,8.06,120.2,3.3,16.1,11.165,5.0,27.465,1.2,13.0,35.0
거제도남안1_연안,2007-08-01,128.5580556,34.81333333,137.0,32.54,25.52,3.6,3.6,7.58,7.8,15.0,1.0,10.0,38.0,4.0,49.0,0.3,10.0,25.0
거제도남안1_연안,2007-11-01,128.5580556,34.81333333,300.0,32.26,17.56,1.6356,3.25,7.69,8.01,611.5,14.3,27.9,79.815,6.5,113.815,1.7,19.7,67.0
거제도남안2_연안,2007-02-01,128.52,34.78083333,1715.0,33.53,10.65,1.71,3.2,10.62,,236.0,6.0,25.0,105.0,5.0,132.0,1.25,22.0,24.0
거제도남안2_연안,2007-05-01,128.52,34.78083333,277.7,34.3,15.23,2.3501,3.4,8.48,8.15,151.5,3.4,20.1,19.47,3.5,38.17,1.216,15.3,45.6
거제도남안2_연안,2007-08-01,128.52,34.78083333,586.0,32.97,22.64,9.21,11.2,7.81,7.94,13.0,22.0,23.0,12.0,3.0,43.0,2.0,10.0,50.0
거제도남안2_연안,2007-11-01,128.52,34.78083333,250.0,32.43,17.77,0.7797,5.75,6.01,7.93,681.1,19.2,35.1,130.86,2.5,180.06,1.248,30.0,52.9
거제도남안3_연안,2007-02-01,128.5402778,34.72277778,1552.0,33.7,12.84,0.65,3.2,9.75,,212.0,7.0,20.0,106.0,8.0,141.0,1.52,27.0,33.0
거제도남안3_연안,2007-05-01,128.5402778,34.72277778,266.4,34.22,14.27,2.42,4.2,8.72,8.15,178.1,9.9,13.7,34.795,6.0,54.795,1.088,10.1,36.1
거제도남안3_연안,2007-08-01,128.5402778,34.72277778,688.0,33.2,21.62,8.34,5.8,7.9,8.04,22.0,6.0,5.0,22.0,5.0,39.0,1.55,11.0,22.0
거제도남안3_연안,2007-11-01,128.5402778,34.72277778,204.5,33.38,17.77,0.7729,6.75,6.16,7.94,546.2,16.3,29.4,138.015,5.0,197.315,1.104,43.0,38.0
거제도남안4_연안,2007-02-01,128.6427778,34.67388889,1048.0,33.71,12.92,0.31,3.8,9.73,,214.0,8.0,17.0,107.0,12.0,121.0,1.12,7.0,36.0
거제도남안4_연안,2007-05-01,128.6427778,34.67388889,212.8,34.09,13.51,1.5852,5.4,8.93,8.11,259.5,11.5,23.8,64.775,4.0,96.975,0.944,20.7,34.4
거제도남안4_연안,2007-08-01,128.6427778,34.67388889,86.0,33.25,21.51,6.44,5.2,7.91,8.1,21.0,2.0,10.0,26.0,4.0,37.0,0.88,8.0,23.0
거제도남안4_연안,2007-11-01,128.6427778,34.67388889,166.8,33.03,17.74,0.9379,9.25,6.84,8.06,467.3,16.4,25.8,132.32,6.0,149.42,1.552,0.7,37.4
거제도동안1_연안,2007-02-01,128.7333333,34.90944444,147.791,34.06,12.52,1.27799,7.875,9.2239,7.85,273.863,8.5333,21.0927,75.0262,6.5,92.7813,1.34697,9.22178,24.6579
거제도동안1_연안,2007-05-01,128.7333333,34.90944444,984.134,33.41,15.59,4.17775,3.105,10.128,8.29,100.196,1.47494,35.867,115.361,4.5,150.615,1.19664,33.7787,133.0
거제도동안1_연안,2007-08-01,128.7333333,34.90944444,287.206,32.74,23.63,13.602,1.95,9.82976,7.96,20.9576,2.74757,7.5495,5.11188,4.5,15.9853,1.52474,8.12582,19.3471
거제도동안1_연안,2007-11-01,128.7333333,34.90944444,211.0,32.6,16.89,1.35,3.9,8.98,7.92,95.0,6.0,26.0,10.0,7.0,35.0,1.48,19.0,32.0
거제도동안2_연안,2007-02-01,128.6797222,34.79861111,139.396,34.08,13.16,0.799676,6.85,9.18253,7.86,169.8,8.81145,19.505,53.7711,8.0,74.2574,1.0904,11.6748,27.2033
거제도동안2_연안,2007-05-01,128.6797222,34.79861111,970.048,33.83,14.57,5.22405,4.545,9.83,8.24,142.163,0.651805,11.4026,98.3595,5.0,131.103,1.29237,32.0915,123.0
거제도동안2_연안,2007-08-01,128.6797222,34.79861111,488.524,34.15,21.34,1.79367,6.15,9.26711,7.96,110.535,2.71935,9.62354,4.13659,3.5,13.279,0.811032,6.42302,19.9049
거제도동안2_연안,2007-11-01,128.6797222,34.79861111,269.0,33.43,16.94,3.23,2.6,7.52,7.84,397.0,4.0,27.0,89.0,6.5,109.0,1.35,15.0,33.0
거제도동안3_연안,2007-02-01,128.7744444,34.76805556,152.216,34.16,13.81,1.13599,8.11,10.0512,7.86,276.827,7.64924,19.027,53.8397,8.0,73.6379,1.28283,12.149,34.1282
거제도동안3_연안,2007-05-01,128.7744444,34.76805556,901.918,33.86,14.17,1.63672,2.21,8.721,8.18,294.031,10.1295,10.4909,114.997,5.5,148.235,0.845622,23.1082,96.0
거제도동안3_연안,2007-08-01,128.7744444,34.76805556,288.373,34.25,22.56,0.485784,2.35,9.16782,7.96,104.331,3.17083,11.5494,11.2999,5.0,18.6727,1.07056,4.20197,15.0705
거제도동안3_연안,2007-11-01,128.7744444,34.76805556,291.0,33.01,17.13,5.9,3.8,8.35,7.84,167.0,3.0,30.0,33.0,8.5,48.0,0.64,12.0,30.0
거제도동안4_연안,2007-02-01,128.7502778,34.87916667,147.821,34.1,13.14,0.695045,4.88,9.18253,7.85,229.954,8.54605,16.3887,68.8498,5.0,86.0312,0.978157,8.63529,24.9466
거제도동안4_연안,2007-05-01,128.7502778,34.87916667,924.346,33.67,14.64,6.35256,7.775,9.797,8.25,326.941,0.939459,11.4026,109.818,4.5,139.776,1.61147,29.0192,103.0
거제도동안4_연안,2007-08-01,128.7502778,34.87916667,234.031,33.34,23.48,0.620309,2.4,9.68082,7.95,35.1013,3.76338,11.9939,12.847,4.5,28.734,1.103,12.1237,22.5081
거제도동안4_연안,2007-11-01,128.7502778,34.87916667,233.0,32.91,16.76,3.25,6.1,8.4,7.87,167.0,0.0,21.0,31.0,5.0,47.0,0.64,16.0,25.0
거제도동안H1_항만,2007-02-01,128.7155556,34.88527778,190.084,33.97,11.79,1.00894,9.11,9.18253,7.8,297.254,8.03872,20.079,76.6496,6.5,116.735,0.865909,32.0469,30.6111
거제도동안H1_항만,2007-08-01,128.7155556,34.88527778,298.471,32.09,25.4,3.63965,1.9,8.8534,7.98,13.7616,3.56586,9.03096,6.59164,4.5,17.543,1.85997,7.38547,20.8346
거제도동안H2_항만,2007-02-01,128.7272222,34.86472222,389.428,33.3,12.86,0.709993,7.3,9.67889,7.82,201.443,11.4899,38.4124,91.9611,4.0,238.331,1.13851,134.88,64.0201
거제도동안H2_항만,2007-08-01,128.7272222,34.86472222,263.274,32.63,24.4,1.8983,4.4,8.58863,7.8,116.986,7.31872,15.6975,41.0968,2.0,75.4203,1.61666,27.0047,50.7709
거진연안1_연안,2007-02-01,128.5055556,38.40833333,117.988,32.93,7.42,0.086,4.8,8.54,7.91,232.0,4.435,17.547,44.245,13.0,84.412,0.63,35.732,22.488
거진연안1_연안,2007-05-01,128.5055556,38.40833333,159.342,33.75,14.45,0.468,2.4,8.07,8.1,77.66,3.5,6.23,31.38,13.0,63.399,0.784,28.519,14.417
거진연안1_연안,2007-08-01,128.5055556,38.40833333,264.705,33.05,20.55,0.32424,3.0,7.2,7.43,71.0,5.028,3.414,3.9778,9.0,26.7147,0.359568,17.7089,12.0
거진연안1_연안,2007-11-01,128.5055556,38.40833333,146.182,33.51,14.21,0.23,4.8,8.06141,7.98,259.051,0.571,1.397,14.469,11.0,29.75,0.519376,14.71,15.0
거진연안2_연안,2007-02-01,128.4597222,38.44027778,108.795,32.75,7.71,0.542,4.6,8.51,7.92,223.383,4.318,18.317,14.482,8.0,42.464,0.61,23.664,33.265
거진연안2_연안,2007-05-01,128.4597222,38.44027778,65.959,33.73,15.43,1.756,2.4,8.65,8.1,71.563,1.3,8.0,32.508,8.0,59.196,0.98,25.388,20.0
거진연안2_연안,2007-08-01,128.4597222,38.44027778,217.217,32.71,19.84,0.4075,0.6,4.6,7.6,85.0,2.367,4.324,16.834,7.0,24.7484,1.03875,5.54736,15.0
거진연안2_연안,2007-11-01,128.4597222,38.44027778,125.23,33.13,13.47,0.292,5.0,8.22938,7.99,383.852,1.771,1.381,38.735,10.0,58.327,0.78,17.821,10.0
거진연안H1_항만,2007-02-01,128.4597222,38.44638889,206.65,32.08,5.31,1.146,8.0,8.48,7.87,249.094,6.169,17.852,28.335,4.5,73.872,1.03,39.368,31.042
거진연안H1_항만,2007-08-01,128.4597222,38.44638889,1408.32,31.94,19.87,1.5515,6.0,4.16,7.73,322.022,3.656,6.749,58.535,5.0,121.79,1.27846,59.5986,26.0
고성자란만1_연안,2007-02-01,128.3147222,34.9275,1329.0,32.7,6.91,1.04,2.0,11.67,,112.0,3.0,22.0,91.0,3.0,125.0,1.25,31.0,32.0
고성자란만1_연안,2007-05-01,128.3147222,34.9275,314.2,33.72,16.78,1.7898,13.2,8.09,8.0,158.1,3.5,27.3,27.175,2.5,57.475,1.664,26.8,37.2
고성자란만1_연안,2007-08-01,128.3147222,34.9275,759.0,31.99,25.73,8.78,4.4,7.34,7.7,83.0,2.0,25.0,38.0,3.0,49.0,2.75,9.0,109.0
고성자란만1_연안,2007-11-01,128.3147222,34.9275,403.7,31.2,16.78,2.1628,2.75,7.7,7.84,1076.0,23.6,41.8,116.28,2.0,151.68,1.68,11.8,45.5
고성자란만2_연안,2007-02-01,128.2233333,34.90944444,1132.0,32.94,6.49,0.59,0.8,12.0,,68.0,4.0,18.0,74.0,8.0,97.0,1.54,20.0,41.0
고성자란만2_연안,2007-05-01,128.2233333,34.90944444,269.6,33.93,16.54,0.7812,6.4,8.15,8.02,319.0,4.7,24.3,14.535,6.0,28.335,1.36,9.1,38.7
고성자란만2_연안,2007-08-01,128.2233333,34.90944444,226.0,32.06,23.95,5.19,4.4,9.03,7.93,32.0,2.0,33.0,33.0,6.0,42.0,1.1,7.0,41.0
고성자란만2_연안,2007-11-01,128.2233333,34.90944444,238.7,31.6,17.69,2.4209,4.0,7.66,7.78,479.6,15.3,25.9,1.0,5.0,16.8,1.824,0.5,44.9
고성자란만3_연안,2007-02-01,128.25,34.875,966.0,32.95,6.94,1.73,1.6,11.47,,47.0,3.0,17.0,74.0,3.0,91.0,1.82,14.0,38.0
고성자란만3_연안,2007-05-01,128.25,34.875,266.8,33.94,15.67,1.093,8.0,8.36,8.03,177.7,3.8,14.0,13.59,5.5,33.99,1.68,16.6,35.4
고성자란만3_연안,2007-08-01,128.25,34.875,618.0,32.37,23.49,6.67,5.4,8.96,7.95,32.0,1.0,22.0,46.0,7.0,54.0,0.51,8.0,26.0
고성자란만3_연안,2007-11-01,128.25,34.875,259.2,32.04,18.65,1.302,4.5,7.36,7.84,565.8,22.8,33.5,67.64,2.5,93.14,1.152,2.7,35.4
고창연안1_연안,2007-02-01,126.4605556,35.5725,438.521,32.28,6.29,7.04122,11.0,11.0,7.91,417.115,3.024,18.1562,335.738,0.7,375.581,2.30667,36.8198,27.1518
고창연안1_연안,2007-05-01,126.4605556,35.5725,500.462,32.12,17.03,0.68572,8.2,8.75,8.0,139.21,0.782929,66.1474,38.0097,1.0,68.9372,1.44,30.1446,105.946
고창연안1_연안,2007-08-01,126.4605556,35.5725,619.142,30.24,27.17,2.14436,6.6,8.61925,8.06,48.8458,4.33674,2.84459,13.3883,2.2,47.4597,0.84,29.7347,27.3129
고창연안1_연안,2007-11-01,126.4605556,35.5725,597.3,30.44,15.5,0.0343,30.2,8.85,8.08,78.0,6.3,58.0,167.6,1.0,182.9,0.95,9.0,74.0
고창연안2_연안,2007-02-01,126.3916667,35.5,433.578,32.3,6.34,7.29566,27.0,10.813,7.96,464.416,2.81018,18.5955,271.371,0.3,286.902,2.62667,12.7212,38.4771
