station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],overlap_count,유분[mg/L],부유물질 농도[mg/L]
가로림연안4_연안,2014-08-15,126.3336111,36.9225,10.5,409.6,31.28,21.98,0.93,14.9,7.03,8.11,373.9,10.3,19.3,98.6,,154.4,1.25,45.5,34.0,1,,
가로림연안4_연안,2014-11-08,126.3336111,36.9225,10.7,415.1,32.09,15.24,1.37,25.6,7.79,8.18,266.5,25.6,15.8,47.7,,84.1,1.02,10.8,37.9,1,,
가로림연안4_연안,2015-02-15,126.3336111,36.9225,13.2,392.294,32.101,3.3743,1.096,26.0,10.7262,8.18,367.84,1.806,21.545,176.176,,179.578,1.39802,1.596,46.1881,1,,
가로림연안4_연안,2015-05-10,126.3336111,36.9225,16.8,406.875,31.924,9.827,3.824,23.8,10.0349,8.15,84.98,2.464,12.927,123.942,,126.77,1.17811,0.364,36.2238,1,,
가로림연안4_연안,2015-08-08,126.3336111,36.9225,14.2,294.188,31.9233,21.8996,2.8,7.0,7.74618,8.04,156.24,14.854,9.765,41.3,,66.402,1.23352,10.3973,21.8429,1,,
가로림연안4_연안,2015-11-12,126.3336111,36.9225,16.2,317.077,31.9081,14.9887,0.732,14.8,8.43128,8.09,452.869,15.9273,22.4543,91.8027,,119.0,1.0052,11.27,32.9536,1,,
가로림연안4_연안,2016-02-01,126.3336111,36.9225,11.0,434.4,32.07,3.88,3.71,23.0,11.66,8.31,436.3,2.0,16.0,131.0,,135.4,1.21,2.4,17.1,1,,
가로림연안4_연안,2016-05-01,126.3336111,36.9225,18.5,336.8,31.95,12.56,0.55,12.8,8.51,8.09,350.8,5.8,14.0,181.7,,195.2,0.68,7.7,35.1,1,,
가로림연안4_연안,2016-08-01,126.3336111,36.9225,15.5,311.6,31.69,24.01,5.14,23.8,6.5,8.04,214.9,8.8,9.2,28.7,,55.5,1.37,17.9,43.2,1,,
가로림연안4_연안,2016-11-01,126.3336111,36.9225,16.0,293.7,32.26,13.34,0.34,8.5,8.06,8.14,424.9,11.0,24.5,110.5,,132.5,0.72,11.0,36.6,1,,
거진연안2_연안,2007-02-01,128.4597222,38.44027778,12.0,105.724,32.93,7.44,0.26,9.0,9.42,7.89,207.089,4.026,17.868,8.338,,33.031,0.63,20.667,27.293,1,,
거진연안2_연안,2007-05-01,128.4597222,38.44027778,14.5,147.958,33.63,7.87,1.73,1.6,8.78,7.9,101.817,3.4,12.0,36.971,,66.123,0.9016,25.752,28.0,1,,
거진연안2_연안,2007-08-01,128.4597222,38.44027778,11.0,211.934,33.59,17.72,0.15922,0.6,4.98,7.63,59.0,1.434,3.99,5.57523,,24.7181,1.0787,17.7089,15.0,1,,
거진연안2_연안,2007-11-01,128.4597222,38.44027778,13.0,84.426,33.53,13.38,0.538,6.2,8.03618,7.96,231.27,2.931,6.764,28.357,,57.864,0.559328,26.576,9.648,1,,
거진연안2_연안,2008-02-01,128.4597222,38.44027778,12.0,223.127,33.18,8.2,0.926,8.4,8.82464,7.83,319.942,2.84595,18.278,95.2052,,99.4745,0.666667,1.42332,29.248,1,,
거진연안2_연안,2008-05-01,128.4597222,38.44027778,14.5,231.877,34.11,8.61,2.36,5.4,10.6903,7.94,23.4375,1.7724,0.73915,12.5545,,18.6293,2.22,4.3024,28.3713,1,,
거진연안2_연안,2008-08-01,128.4597222,38.44027778,11.0,103.271,34.05,19.7,,,8.35548,7.91,171.87,0.71002,1.95674,9.978,,16.6659,0.984,5.9779,9.607,1,,
거진연안2_연안,2008-11-01,128.4597222,38.44027778,13.0,229.187,33.65,13.7,,,8.73732,8.1,258.543,5.027,12.702,85.801,,100.787,1.58667,9.959,16.218,1,,
거진연안2_연안,2009-02-01,128.4597222,38.44027778,12.0,185.167,34.08,5.07,0.624,1.4,9.84327,8.21,376.854,4.062,21.476,127.109,,133.556,0.629333,2.385,36.673,1,,
거진연안2_연안,2009-05-01,128.4597222,38.44027778,14.5,446.173,33.7,11.89,2.92,1.8,9.32924,8.04,166.633,0.457,13.3095,6.23,,7.554,0.490453,0.867,27.71,1,,
거진연안2_연안,2009-08-01,128.4597222,38.44027778,11.0,280.32,32.59,19.33,0.88,2.6,8.17403,8.14,75.207,1.448,3.56104,1.87668,,13.4937,0.842667,10.169,10.2266,1,,
거진연안2_연안,2009-11-01,128.4597222,38.44027778,13.0,124.0,33.3,13.17,1.482,3.2,8.51504,8.12,128.0,1.0,3.0,6.0,,12.0,0.608,5.0,26.0,1,,
거진연안2_연안,2010-02-01,128.4597222,38.44027778,12.0,225.0,33.96,3.36,0.433333,13.8,11.3534,8.1,307.0,1.0,16.0,93.0,,103.0,0.336,9.0,41.0,1,,
거진연안2_연안,2010-05-01,128.4597222,38.44027778,14.5,280.223,33.84,9.3,1.424,17.0,9.77475,8.2,35.0,1.0,2.0,1.0,,22.0,0.88,20.0,30.0,1,,
거진연안2_연안,2010-08-01,128.4597222,38.44027778,11.0,176.576,33.52,10.17,1.732,12.6,9.34422,8.2,28.0,1.0,0.0,5.0,,36.0,1.2,30.0,31.0,1,,
거진연안2_연안,2010-11-01,128.4597222,38.44027778,13.0,290.555,32.96,14.2,5.56,12.4,8.53098,8.2,18.0,0.0,1.0,15.0,,26.0,0.624,11.0,9.0,1,,
거진연안2_연안,2011-03-05,128.4597222,38.44027778,12.0,104.933,33.51,2.39,2.8972,3.2,11.5607,8.19,193.928,0.574,8.091,1.204,,4.326,0.999451,2.548,12.896,1,,
거진연안2_연안,2011-05-03,128.4597222,38.44027778,14.5,186.195,33.73,6.96,2.6708,6.8,10.3169,8.2,41.1599,0.321443,12.1854,5.40067,,14.3271,0.986667,8.60494,28.7439,1,,
거진연안2_연안,2011-08-03,128.4597222,38.44027778,11.0,202.468,32.6756,19.5828,1.131,1.2,11.5607,8.19,463.792,0.154,0.2015,3.997,,14.21,0.811234,10.059,10.385,1,,
거진연안2_연안,2011-11-02,128.4597222,38.44027778,13.0,173.159,33.3402,16.2937,1.334,3.2,8.30774,8.24,154.42,1.12,1.767,16.485,,24.647,0.453633,7.042,11.284,1,,
거진연안2_연안,2012-02-06,128.4597222,38.44027778,17.0,186.1,34.2,5.88,0.67,1.0,9.46,8.2,236.8,3.2,12.3,76.7,,85.6,0.53,5.7,20.0,1,,
거진연안2_연안,2012-05-06,128.4597222,38.44027778,17.0,126.2,34.14,12.94,1.33,4.0,8.88,8.19,47.8,0.3,0.7,3.0,,3.4,1.05,0.2,14.0,1,,
거진연안2_연안,2012-08-07,128.4597222,38.44027778,18.0,101.1,33.87,19.6,0.87,2.8,7.08,8.15,77.6,0.7,2.0,9.0,,13.3,0.82,3.5,12.3,1,,
거진연안2_연안,2012-11-20,128.4597222,38.44027778,17.0,119.5,33.34,12.27,1.62,3.8,8.29,8.13,104.7,1.6,0.8,28.4,,32.5,0.44,2.6,9.6,1,,
거진연안2_연안,2013-02-14,128.4597222,38.44027778,17.0,174.3,33.93,5.45,0.87,3.4,9.54,8.04,241.0,2.4,11.4,73.4,,93.8,0.8,18.0,11.5,1,,
거진연안2_연안,2013-05-13,128.4597222,38.44027778,4.8,153.1,33.97,12.47,1.8,5.1,9.1,8.14,16.5,0.5,0.2,1.6,,36.7,0.84,34.6,8.4,1,,
거진연안2_연안,2013-08-13,128.4597222,38.44027778,18.0,109.5,32.88,24.5,11.46,1.5,7.4,8.11,30.2,0.1,0.6,0.3,,1.5,1.21,1.1,7.0,1,,
거진연안2_연안,2013-11-06,128.4597222,38.44027778,17.0,136.9,33.13,16.6,1.36,2.5,7.27,8.26,92.4,0.2,0.2,3.7,,8.1,0.93,4.2,10.0,1,,
가로림연안4_연안,2014-02-23,126.3336111,36.9225,8.5,387.2,31.46,4.18,1.54,31.0,11.2,8.04,357.3,1.4,23.6,106.5,,109.0,1.15,1.1,32.0,1,,
가로림연안4_연안,2014-05-23,126.3336111,36.9225,10.0,444.1,31.18,13.31,2.32,15.8,9.36,8.07,246.7,4.5,13.9,145.2,,165.0,0.87,15.2,23.6,1,,
가로림연안4_연안,2014-08-15,126.3336111,36.9225,10.5,409.6,31.28,21.98,0.93,14.9,7.03,8.11,373.9,10.3,19.3,98.6,,154.4,1.25,45.5,34.0,1,,
가로림연안4_연안,2014-11-08,126.3336111,36.9225,10.7,415.1,32.09,15.24,1.37,25.6,7.79,8.18,266.5,25.6,15.8,47.7,,84.1,1.02,10.8,37.9,1,,
거진연안2_연안,2014-02-26,128.4597222,38.44027778,19.0,181.0,33.89,4.48,1.57,3.6,10.28,8.18,217.1,2.3,14.3,61.7,,64.6,0.24,0.6,14.7,1,,
거진연안2_연안,2014-05-26,128.4597222,38.44027778,17.0,248.5,34.17,11.02,2.93,3.1,9.58,8.19,85.0,0.4,4.1,3.0,,29.8,0.31,26.4,19.7,1,,
거진연안2_연안,2014-08-13,128.4597222,38.44027778,18.0,174.4,33.37,22.0,0.53,0.1,8.01,8.25,19.3,0.3,2.6,1.4,,2.1,1.24,0.4,8.9,1,,
거진연안2_연안,2014-11-05,128.4597222,38.44027778,19.0,201.9,33.51,17.08,0.93,19.1,8.02,8.17,104.8,0.1,2.0,2.3,,5.3,0.71,3.0,7.8,1,,
가로림연안4_연안,2015-02-15,126.3336111,36.9225,13.2,392.294,32.101,3.3743,1.096,26.0,10.7262,8.18,367.84,1.806,21.545,176.176,,179.578,1.39802,1.596,46.1881,1,,
가로림연안4_연안,2015-05-10,126.3336111,36.9225,16.8,406.875,31.924,9.827,3.824,23.8,10.0349,8.15,84.98,2.464,12.927,123.942,,126.77,1.17811,0.364,36.2238,1,,
가로림연안4_연안,2015-08-08,126.3336111,36.9225,14.2,294.188,31.9233,21.8996,2.8,7.0,7.74618,8.04,156.24,14.854,9.765,41.3,,66.402,1.23352,10.3973,21.8429,1,,
가로림연안4_연안,2015-11-12,126.3336111,36.9225,16.2,317.077,31.9081,14.9887,0.732,14.8,8.43128,8.09,452.869,15.9273,22.4543,91.8027,,119.0,1.0052,11.27,32.9536,1,,
거진연안2_연안,2015-02-03,128.4597222,38.44027778,21.0,305.707,34.0076,4.9201,0.362,1.8,10.5924,8.12,223.1,2.198,9.889,57.456,,64.218,0.445942,4.564,21.8352,1,,
거진연안2_연안,2015-05-08,128.4597222,38.44027778,20.0,223.32,33.92,4.2434,2.18,0.1,11.06,8.07,217.616,0.672,7.874,36.19,,41.146,0.859411,4.284,20.0874,1,,
거진연안2_연안,2015-08-05,128.4597222,38.44027778,17.0,183.551,33.4976,12.5155,0.534,1.9,10.1119,8.14,47.964,0.882,2.945,2.338,,20.174,0.842094,16.954,12.0872,1,,
거진연안2_연안,2015-11-20,128.4597222,38.44027778,20.0,181.367,33.1802,13.7081,0.4,1.2,8.5671,8.17,172.452,2.38,4.65,20.762,,46.214,0.89659,23.072,9.84498,1,,
가로림연안4_연안,2016-02-01,126.3336111,36.9225,11.0,434.4,32.07,3.88,3.71,23.0,11.66,8.31,436.3,2.0,16.0,131.0,,135.4,1.21,2.4,17.1,1,,
가로림연안4_연안,2016-05-01,126.3336111,36.9225,18.5,336.8,31.95,12.56,0.55,12.8,8.51,8.09,350.8,5.8,14.0,181.7,,195.2,0.68,7.7,35.1,1,,
가로림연안4_연안,2016-08-01,126.3336111,36.9225,15.5,311.6,31.69,24.01,5.14,23.8,6.5,8.04,214.9,8.8,9.2,28.7,,55.5,1.37,17.9,43.2,1,,
가로림연안4_연안,2016-11-01,126.3336111,36.9225,16.0,293.7,32.26,13.34,0.34,8.5,8.06,8.14,424.9,11.0,24.5,110.5,,132.5,0.72,11.0,36.6,1,,
거진연안2_연안,2016-02-01,128.4597222,38.44027778,7.0,219.2,33.81,4.73,1.27,20.9,11.12,8.21,175.8,2.2,6.1,47.7,,61.7,1.31,11.7,12.2,1,,
거진연안2_연안,2016-05-01,128.4597222,38.44027778,8.0,143.8,33.93,12.54,0.39,4.6,9.35,7.97,86.1,1.5,3.3,1.2,,5.1,0.8,2.4,12.7,1,,
거진연안2_연안,2016-08-01,128.4597222,38.44027778,9.0,123.6,33.05,15.98,0.51,3.7,8.52,7.98,45.7,0.7,0.9,0.1,,14.5,0.9,13.6,9.2,1,,
거진연안2_연안,2016-11-01,128.4597222,38.44027778,10.0,160.6,33.25,12.09,2.44,8.4,8.24,8.28,116.9,2.5,5.4,25.7,,46.8,0.99,18.5,16.6,1,,
가로림연안4_연안,2017-02-07,126.3336111,36.9225,20.0,278.4,32.18,4.53,0.54,,10.45,8.2,,1.8,,,,166.3,1.72,3.2,31.2,1,,16.2
가로림연안4_연안,2017-05-18,126.3336111,36.9225,22.0,322.5,32.06,11.47,4.28,,9.94,8.09,63.5,3.1,,,,130.6,1.59,0.1,35.1,1,,19.8
가로림연안4_연안,2017-08-12,126.3336111,36.9225,12.0,314.6,31.68,23.72,2.25,,7.63,8.04,,12.8,,48.7,,62.7,1.68,1.1,30.4,1,,20.6
가로림연안4_연안,2017-11-20,126.3336111,36.9225,14.0,243.5,32.1,10.1,0.92,,9.3,8.17,,11.1,,90.0,,112.2,2.04,11.1,31.2,1,,23.7
거진연안2_연안,2017-02-19,128.4597222,38.44027778,9.0,153.0,34.34,9.88,0.51,,9.28,8.28,,2.6,,,,77.1,0.9,2.2,24.5,1,,13.4
거진연안2_연안,2017-05-12,128.4597222,38.44027778,10.0,124.3,34.31,12.32,1.79,,9.13,8.18,148.3,1.8,,27.6,,29.8,0.77,0.5,18.4,1,,2.2
거진연안2_연안,2017-08-20,128.4597222,38.44027778,8.0,113.1,31.63,23.65,0.94,,7.19,8.22,,0.4,1.2,12.9,,13.8,1.21,0.4,6.1,1,,11.3
거진연안2_연안,2017-11-22,128.4597222,38.44027778,9.0,157.9,33.66,14.16,1.09,,8.41,8.23,,7.0,,,,61.0,0.89,6.9,18.5,1,,6.9
거진연안2_연안,2007-02-01,128.4597222,38.44027778,12.0,105.724,32.93,7.44,0.26,9.0,9.42,7.89,207.089,4.026,17.868,8.338,,33.031,0.63,20.667,27.293,1,,
거진연안2_연안,2007-05-01,128.4597222,38.44027778,14.5,147.958,33.63,7.87,1.73,1.6,8.78,7.9,101.817,3.4,12.0,36.971,,66.123,0.9016,25.752,28.0,1,,
거진연안2_연안,2007-08-01,128.4597222,38.44027778,11.0,211.934,33.59,17.72,0.15922,0.6,4.98,7.63,59.0,1.434,3.99,5.57523,,24.7181,1.0787,17.7089,15.0,1,,
거진연안2_연안,2007-11-01,128.4597222,38.44027778,13.0,84.426,33.53,13.38,0.538,6.2,8.03618,7.96,231.27,2.931,6.764,28.357,,57.864,0.559328,26.576,9.648,1,,
거진연안2_연안,2008-02-01,128.4597222,38.44027778,12.0,223.127,33.18,8.2,0.926,8.4,8.82464,7.83,319.942,2.84595,18.278,95.2052,,99.4745,0.666667,1.42332,29.248,1,,
거진연안2_연안,2008-05-01,128.4597222,38.44027778,14.5,231.877,34.11,8.61,2.36,5.4,10.6903,7.94,23.4375,1.7724,0.73915,12.5545,,18.6293,2.22,4.3024,28.3713,1,,
거진연안2_연안,2008-08-01,128.4597222,38.44027778,11.0,103.271,34.05,19.7,,,8.35548,7.91,171.87,0.71002,1.95674,9.978,,16.6659,0.984,5.9779,9.607,1,,
거진연안2_연안,2008-11-01,128.4597222,38.44027778,13.0,229.187,33.65,13.7,,,8.73732,8.1,258.543,5.027,12.702,85.801,,100.787,1.58667,9.959,16.218,1,,
거진연안2_연안,2009-02-01,128.4597222,38.44027778,12.0,185.167,34.08,5.07,0.624,1.4,9.84327,8.21,376.854,4.062,21.476,127.109,,133.556,0.629333,2.385,36.673,1,,
거진연안2_연안,2009-05-01,128.4597222,38.44027778,14.5,446.173,33.7,11.89,2.92,1.8,9.32924,8.04,166.633,0.457,13.3095,6.23,,7.554,0.490453,0.867,27.71,1,,
거진연안2_연안,2009-08-01,128.4597222,38.44027778,11.0,280.32,32.59,19.33,0.88,2.6,8.17403,8.14,75.207,1.448,3.56104,1.87668,,13.4937,0.842667,10.169,10.2266,1,,
거진연안2_연안,2009-11-01,128.4597222,38.44027778,13.0,124.0,33.3,13.17,1.482,3.2,8.51504,8.12,128.0,1.0,3.0,6.0,,12.0,0.608,5.0,26.0,1,,
거진연안2_연안,2010-02-01,128.4597222,38.44027778,12.0,225.0,33.96,3.36,0.433333,13.8,11.3534,8.1,307.0,1.0,16.0,93.0,,103.0,0.336,9.0,41.0,1,,
거진연안2_연안,2010-05-01,128.4597222,38.44027778,14.5,280.223,33.84,9.3,1.424,17.0,9.77475,8.2,35.0,1.0,2.0,1.0,,22.0,0.88,20.0,30.0,1,,
거진연안2_연안,2010-08-01,128.4597222,38.44027778,11.0,176.576,33.52,10.17,1.732,12.6,9.34422,8.2,28.0,1.0,0.0,5.0,,36.0,1.2,30.0,31.0,1,,
거진연안2_연안,2010-11-01,128.4597222,38.44027778,13.0,290.555,32.96,14.2,5.56,12.4,8.53098,8.2,18.0,0.0,1.0,15.0,,26.0,0.624,11.0,9.0,1,,
거진연안2_연안,2011-03-05,128.4597222,38.44027778,12.0,104.933,33.51,2.39,2.8972,3.2,11.5607,8.19,193.928,0.574,8.091,1.204,,4.326,0.999451,2.548,12.896,1,,
거진연안2_연안,2011-05-03,128.4597222,38.44027778,14.5,186.195,33.73,6.96,2.6708,6.8,10.3169,8.2,41.1599,0.321443,12.1854,5.40067,,14.3271,0.986667,8.60494,28.7439,1,,
거진연안2_연안,2011-08-03,128.4597222,38.44027778,11.0,202.468,32.6756,19.5828,1.131,1.2,11.5607,8.19,463.792,0.154,0.2015,3.997,,14.21,0.811234,10.059,10.385,1,,
거진연안2_연안,2011-11-02,128.4597222,38.44027778,13.0,173.159,33.3402,16.2937,1.334,3.2,8.30774,8.24,154.42,1.12,1.767,16.485,,24.647,0.453633,7.042,11.284,1,,
거진연안2_연안,2012-02-06,128.4597222,38.44027778,17.0,186.1,34.2,5.88,0.67,1.0,9.46,8.2,236.8,3.2,12.3,76.7,,85.6,0.53,5.7,20.0,1,,
거진연안2_연안,2012-05-06,128.4597222,38.44027778,17.0,126.2,34.14,12.94,1.33,4.0,8.88,8.19,47.8,0.3,0.7,3.0,,3.4,1.05,0.2,14.0,1,,
거진연안2_연안,2012-08-07,128.4597222,38.44027778,18.0,101.1,33.87,19.6,0.87,2.8,7.08,8.15,77.6,0.7,2.0,9.0,,13.3,0.82,3.5,12.3,1,,
거진연안2_연안,2012-11-20,128.4597222,38.44027778,17.0,119.5,33.34,12.27,1.62,3.8,8.29,8.13,104.7,1.6,0.8,28.4,,32.5,0.44,2.6,9.6,1,,
거진연안2_연안,2013-02-14,128.4597222,38.44027778,17.0,174.3,33.93,5.45,0.87,3.4,9.54,8.04,241.0,2.4,11.4,73.4,,93.8,0.8,18.0,11.5,1,,
거진연안2_연안,2013-05-13,128.4597222,38.44027778,4.8,153.1,33.97,12.47,1.8,5.1,9.1,8.14,16.5,0.5,0.2,1.6,,36.7,0.84,34.6,8.4,1,,
거진연안2_연안,2013-08-13,128.4597222,38.44027778,18.0,109.5,32.88,24.5,11.46,1.5,7.4,8.11,30.2,0.1,0.6,0.3,,1.5,1.21,1.1,7.0,1,,
거진연안2_연안,2013-11-06,128.4597222,38.44027778,17.0,136.9,33.13,16.6,1.36,2.5,7.27,8.26,92.4,0.2,0.2,3.7,,8.1,0.93,4.2,10.0,1,,
가로림연안4_연안,2014-02-23,126.3336111,36.9225,8.5,387.2,31.46,4.18,1.54,31.0,11.2,8.04,357.3,1.4,23.6,106.5,,109.0,1.15,1.1,32.0,1,,
가로림연안4_연안,2014-05-23,126.3336111,36.9225,10.0,444.1,31.18,13.31,2.32,15.8,9.36,8.07,246.7,4.5,13.9,145.2,,165.0,0.87,15.2,23.6,1,,
가로림연안4_연안,2014-08-15,126.3336111,36.9225,10.5,409.6,31.28,21.98,0.93,14.9,7.03,8.11,373.9,10.3,19.3,98.6,,154.4,1.25,45.5,34.0,1,,
가로림연안4_연안,2014-11-08,126.3336111,36.9225,10.7,415.1,32.09,15.24,1.37,25.6,7.79,8.18,266.5,25.6,15.8,47.7,,84.1,1.02,10.8,37.9,1,,
거진연안2_연안,2014-02-26,128.4597222,38.44027778,19.0,181.0,33.89,4.48,1.57,3.6,10.28,8.18,217.1,2.3,14.3,61.7,,64.6,0.24,0.6,14.7,1,,
거진연안2_연안,2014-05-26,128.4597222,38.44027778,17.0,248.5,34.17,11.02,2.93,3.1,9.58,8.19,85.0,0.4,4.1,3.0,,29.8,0.31,26.4,19.7,1,,
거진연안2_연안,2014-08-13,128.4597222,38.44027778,18.0,174.4,33.37,22.0,0.53,0.1,8.01,8.25,19.3,0.3,2.6,1.4,,2.1,1.24,0.4,8.9,1,,
거진연안2_연안,2014-11-05,128.4597222,38.44027778,19.0,201.9,33.51,17.08,0.93,19.1,8.02,8.17,104.8,0.1,2.0,2.3,,5.3,0.71,3.0,7.8,1,,
가로림연안4_연안,2015-02-15,126.3336111,36.9225,13.2,392.294,32.101,3.3743,1.096,26.0,10.7262,8.18,367.84,1.806,21.545,176.176,,179.578,1.39802,1.596,46.1881,1,,
가로림연안4_연안,2015-05-10,126.3336111,36.9225,16.8,406.875,31.924,9.827,3.824,23.8,10.0349,8.15,84.98,2.464,12.927,123.942,,126.77,1.17811,0.364,36.2238,1,,
가로림연안4_연안,2015-08-08,126.3336111,36.9225,14.2,294.188,31.9233,21.8996,2.8,7.0,7.74618,8.04,156.24,14.854,9.765,41.3,,66.402,1.23352,10.3973,21.8429,1,,
가로림연안4_연안,2015-11-12,126.3336111,36.9225,16.2,317.077,31.9081,14.9887,0.732,14.8,8.43128,8.09,452.869,15.9273,22.4543,91.8027,,119.0,1.0052,11.27,32.9536,1,,
거진연안2_연안,2015-02-03,128.4597222,38.44027778,21.0,305.707,34.0076,4.9201,0.362,1.8,10.5924,8.12,223.1,2.198,9.889,57.456,,64.218,0.445942,4.564,21.8352,1,,
거진연안2_연안,2015-05-08,128.4597222,38.44027778,20.0,223.32,33.92,4.2434,2.18,0.1,11.06,8.07,217.616,0.672,7.874,36.19,,41.146,0.859411,4.284,20.0874,1,,
거진연안2_연안,2015-08-05,128.4597222,38.44027778,17.0,183.551,33.4976,12.5155,0.534,1.9,10.1119,8.14,47.964,0.882,2.945,2.338,,20.174,0.842094,16.954,12.0872,1,,
거진연안2_연안,2015-11-20,128.4597222,38.44027778,20.0,181.367,33.1802,13.7081,0.4,1.2,8.5671,8.17,172.452,2.38,4.65,20.762,,46.214,0.89659,23.072,9.84498,1,,
가로림연안4_연안,2016-02-01,126.3336111,36.9225,11.0,434.4,32.07,3.88,3.71,23.0,11.66,8.31,436.3,2.0,16.0,131.0,,135.4,1.21,2.4,17.1,1,,
가로림연안4_연안,2016-05-01,126.3336111,36.9225,18.5,336.8,31.95,12.56,0.55,12.8,8.51,8.09,350.8,5.8,14.0,181.7,,195.2,0.68,7.7,35.1,1,,
가로림연안4_연안,2016-08-01,126.3336111,36.9225,15.5,311.6,31.69,24.01,5.14,23.8,6.5,8.04,214.9,8.8,9.2,28.7,,55.5,1.37,17.9,43.2,1,,
가로림연안4_연안,2016-11-01,126.3336111,36.9225,16.0,293.7,32.26,13.34,0.34,8.5,8.06,8.14,424.9,11.0,24.5,110.5,,132.5,0.72,11.0,36.6,1,,
거진연안2_연안,2016-02-01,128.4597222,38.44027778,7.0,219.2,33.81,4.73,1.27,20.9,11.12,8.21,175.8,2.2,6.1,47.7,,61.7,1.31,11.7,12.2,1,,
거진연안2_연안,2016-05-01,128.4597222,38.44027778,8.0,143.8,33.93,12.54,0.39,4.6,9.35,7.97,86.1,1.5,3.3,1.2,,5.1,0.8,2.4,12.7,1,,
거진연안2_연안,2016-08-01,128.4597222,38.44027778,9.0,123.6,33.05,15.98,0.51,3.7,8.52,7.98,45.7,0.7,0.9,0.1,,14.5,0.9,13.6,9.2,1,,
거진연안2_연안,2016-11-01,128.4597222,38.44027778,10.0,160.6,33.25,12.09,2.44,8.4,8.24,8.28,116.9,2.5,5.4,25.7,,46.8,0.99,18.5,16.6,1,,
가로림연안4_연안,2017-02-07,126.3336111,36.9225,20.0,278.4,32.18,4.53,0.54,,10.45,8.2,,1.8,,,,166.3,1.72,3.2,31.2,1,,16.2
가로림연안4_연안,2017-05-18,126.3336111,36.9225,22.0,322.5,32.06,11.47,4.28,,9.94,8.09,63.5,3.1,,,,130.6,1.59,0.1,35.1,1,,19.8
