station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],overlap_count,유분[mg/L]
거제도남안4_연안,2007-11-01,128.6427778,34.67388889,75.0,374.6,33.14,17.64,0.7179,3.75,6.84,8.05,552.1,17.9,46.9,148.695,,169.495,1.136,2.9,62.5,1,
고창연안1_연안,2007-02-01,126.4605556,35.5725,8.0,598.466,32.27,6.24,8.66236,11.6,10.6014,7.99,419.026,3.08509,19.7669,184.847,,277.249,2.82667,89.3172,36.0088,1,
고창연안1_연안,2007-05-01,126.4605556,35.5725,9.0,339.477,32.1,16.37,0.4612,7.4,9.22917,7.9,99.5755,0.363503,75.6867,14.627,,58.0542,1.12,43.0637,102.317,1,
고창연안1_연안,2007-08-01,126.4605556,35.5725,10.9,367.171,30.25,27.16,2.7002,5.6,8.18372,8.07,43.2097,5.02849,3.74968,19.3173,,55.6252,1.44,31.2794,34.1007,1,
고창연안1_연안,2007-11-01,126.4605556,35.5725,17.0,571.0,30.42,15.45,0.0229,31.4,8.44,8.1,95.0,6.3,55.0,138.1,,154.8,1.51,10.4,67.0,1,
구룡포연안1_연안,2007-02-01,129.5638889,35.98305556,22.0,207.0,33.99,12.57,0.59786,6.2,9.3,8.02,229.0,10.0,8.0,59.0,,91.0,0.58,23.0,23.0,1,
구룡포연안1_연안,2007-05-01,129.5638889,35.98305556,20.0,346.34,34.05,10.74,5.87838,8.4,9.03,7.75,23.177,0.51987,1.6547,6.04927,,17.9032,1.27846,11.3341,30.2512,1,
구룡포연안1_연안,2007-08-01,129.5638889,35.98305556,28.0,252.548,33.61,19.13,1.3805,3.8,8.08,7.91,38.0765,1.333,1.18193,1.79516,,21.597,0.519376,18.4688,23.106,1,
구룡포연안1_연안,2007-11-01,129.5638889,35.98305556,22.0,213.424,33.42,17.92,1.07486,3.0,7.96,7.78,184.943,5.4653,10.6373,45.817,,175.223,0.679184,123.941,24.4051,1,
구룡포연안2_연안,2007-02-01,129.5880556,35.99777778,35.0,172.0,33.97,12.3,0.67298,0.8,9.6,8.02,250.0,9.0,11.0,73.0,,112.0,0.54,29.0,23.0,1,
구룡포연안2_연안,2007-05-01,129.5880556,35.99777778,36.0,407.717,33.98,5.8,2.29894,7.2,8.44,7.74,291.604,3.85237,27.9722,8.0,,23.1864,0.79904,11.3341,57.3473,1,
구룡포연안2_연안,2007-08-01,129.5880556,35.99777778,35.0,90.4708,34.0,12.54,0.73042,3.0,8.18,7.84,23.4135,1.1997,0.866745,4.31368,,26.8361,0.359568,21.3227,11.2282,1,
구룡포연안2_연안,2007-11-01,129.5880556,35.99777778,35.0,133.846,34.07,14.42,0.1404,1.6,7.15,7.78,161.293,5.14538,7.64312,46.176,,79.4527,0.439472,28.1313,19.2086,1,
구룡포연안H1_항만,2007-02-01,129.5563889,35.98555556,8.5,228.0,33.82,11.38,1.70566,10.4,9.65,7.98,267.0,7.0,13.0,95.0,,131.0,0.66,29.0,32.0,1,
구룡포연안H1_항만,2007-08-01,129.5563889,35.98555556,8.9,141.485,33.4,21.05,8.76294,3.2,8.15,7.94,35.2385,1.9995,4.49131,4.49143,,99.3242,0.9988,92.8333,32.0,1,
대정연안1_연안,2007-02-01,126.2516667,33.2025,20.0,284.035,34.3933,15.1949,0.78693,2.2,8.37355,8.08,312.96,3.39958,11.5293,112.819,,122.971,0.364827,6.75241,24.1601,1,
대정연안1_연안,2007-05-01,126.2516667,33.2025,19.0,465.409,34.3458,15.6053,0.40282,2.1,8.02693,8.15,228.348,4.2078,6.28554,22.856,,27.2835,0.1,0.21967,18.9063,1,
대정연안1_연안,2007-08-01,126.2516667,33.2025,19.5,774.0,33.48,22.04,1.58,1.7,7.13,8.16,261.0,3.0,4.0,68.0,,88.0,0.54,17.0,17.0,1,
대정연안1_연안,2007-11-01,126.2516667,33.2025,18.0,735.0,34.07,21.39,0.81,1.6,9.07,8.18,215.0,2.0,6.0,68.0,,73.0,0.39,3.0,14.0,1,
대정연안2_연안,2007-02-01,126.3275,33.22,30.0,280.17,34.3926,15.3118,0.83941,2.0,7.90014,8.11,307.668,3.85722,12.8768,109.946,,119.004,0.426925,5.20118,27.9032,1,
대정연안2_연안,2007-05-01,126.3275,33.22,32.0,474.877,34.352,15.5923,0.37064,2.2,8.08873,8.13,211.567,10.9403,7.63244,43.4035,,61.8126,0.19,7.46879,12.309,1,
대정연안2_연안,2007-08-01,126.3275,33.22,29.6,638.0,34.24,18.86,1.28,2.0,7.3,8.16,258.0,5.0,3.0,61.0,,73.0,0.52,8.0,14.0,1,
대정연안2_연안,2007-11-01,126.3275,33.22,27.0,674.0,34.14,21.84,0.81,1.1,8.78,8.19,191.0,2.0,3.0,51.0,,72.0,0.52,19.0,12.0,1,
동해연안1_연안,2007-02-01,129.135,37.53555556,20.0,67.867,33.12,11.99,2.96,3.0,9.42,8.02,276.145,4.713,11.889,36.561,,52.729,0.93,11.455,16.974,1,
동해연안1_연안,2007-05-01,129.135,37.53555556,18.0,155.871,33.78,13.05,0.696,1.8,8.83191,8.11,87.084,0.6,5.596,52.466,,78.936,0.89,25.87,39.906,1,
동해연안1_연안,2007-08-01,129.135,37.53555556,19.0,573.404,34.26,10.79,0.52694,4.0,8.1,7.95,183.213,2.801,15.168,21.5402,,76.1876,1.35837,51.8465,17.0,1,
동해연안1_연안,2007-11-01,129.135,37.53555556,19.0,118.962,33.84,14.96,0.349,3.2,7.51684,7.89,317.519,4.044,11.204,47.594,,61.638,0.79904,10.0,29.57,1,
동해연안2_연안,2007-02-01,129.1547222,37.50305556,28.0,70.679,33.06,11.3,2.698,0.8,9.24,7.98,267.801,4.289,11.163,25.153,,44.121,0.95,14.679,15.826,1,
동해연안2_연안,2007-05-01,129.1547222,37.50305556,27.0,268.513,33.67,10.68,0.56,2.0,8.9511,7.92,86.532,3.8,8.728,44.57,,79.168,0.8624,30.798,35.306,1,
동해연안2_연안,2007-08-01,129.1547222,37.50305556,28.0,420.619,34.08,11.49,0.9584,4.6,8.01,7.87,191.65,5.352,22.014,56.0744,,149.468,1.31842,88.0413,31.0,1,
동해연안2_연안,2007-11-01,129.1547222,37.50305556,29.0,243.937,33.91,15.13,0.542,2.6,7.52174,7.89,307.932,3.618,11.086,60.551,,83.258,1.31842,19.089,35.813,1,
동해연안3_연안,2007-02-01,129.1522222,37.52333333,28.0,81.025,33.23,9.75,3.37,3.0,9.14,7.96,287.435,5.183,10.619,27.481,,49.304,1.15,16.64,14.063,1,
동해연안3_연안,2007-05-01,129.1522222,37.52333333,29.0,161.536,33.86,4.75,0.542,2.6,9.10972,7.8,235.694,8.9,5.0,44.37,,74.309,1.2544,21.039,12.012,1,
동해연안3_연안,2007-08-01,129.1522222,37.52333333,27.0,559.165,33.98,8.81,0.14004,4.8,8.22,7.9,192.731,5.867,10.23,97.8697,,140.008,1.63803,36.2712,20.0,1,
동해연안3_연안,2007-11-01,129.1522222,37.52333333,27.0,216.0,33.84,15.28,0.481,3.2,7.71521,7.88,324.647,3.755,11.379,38.914,,53.207,0.519376,10.538,15.914,1,
동해연안H1_항만,2007-02-01,129.1152778,37.54666667,11.0,316.72,32.86,11.0,2.274,7.6,9.15,7.92,274.275,8.444,27.119,84.751,,225.143,1.27,131.948,40.907,1,
동해연안H1_항만,2007-08-01,129.1152778,37.54666667,10.0,341.516,34.23,11.12,1.09928,3.8,8.03,7.94,170.089,1.973,7.408,16.8032,,149.85,2.03755,131.074,25.0,1,
동해연안H2_항만,2007-02-01,129.1402778,37.49666667,15.0,283.97,32.94,11.7,1.822,10.2,8.42,7.98,184.994,4.726,14.481,28.944,,63.929,1.27,30.259,23.32,1,
동해연안H2_항만,2007-08-01,129.1402778,37.49666667,15.0,482.877,34.07,15.67,0.75858,2.8,7.41,7.95,167.854,2.868,9.498,18.627,,127.464,1.47822,105.969,13.0,1,
보령연안3_연안,2007-02-01,126.4916667,36.24583333,17.0,414.7,32.18,5.83,1.92196,6.4,10.55,8.09,391.213,3.0,23.0,282.0,,293.0,0.61721,8.0,33.0,3,
보령연안3_연안,2007-05-01,126.4916667,36.24583333,18.0,231.0,31.91,13.55,0.65328,17.4,8.21,8.2,26.3868,0.0,3.6,5.0,,32.0,0.87648,27.0,25.7665,3,
보령연안3_연안,2007-08-01,126.4916667,36.24583333,15.0,421.08,29.13,26.3,16.6068,16.8,5.98,8.19,493.377,4.6,5.97857,16.9419,,61.3881,1.34191,39.8462,48.7759,3,
보령연안3_연안,2007-11-01,126.4916667,36.24583333,11.0,503.0,31.76,15.91,1.86348,14.6,6.92,7.92,389.947,16.0,22.0,70.0,,103.0,0.645775,17.0,40.7,3,
부산연안4_환경관리,2007-02-01,129.09278,35.08583,14.7,263.857,33.94,10.57,0.822097,5.48,10.2166,7.78,344.974,9.4281,22.07,100.92,,139.604,0.978157,29.256,33.5043,1,
부산연안4_환경관리,2007-05-01,129.09278,35.08583,13.0,607.865,33.21,13.97,5.82941,13.525,8.142,7.46,242.1,8.59557,15.2014,169.66,,317.862,0.749891,38.0726,24.0,1,
부산연안4_환경관리,2007-08-01,129.09278,35.08583,14.0,489.241,34.25,17.24,3.81154,5.65,7.69501,7.89,317.118,4.46404,18.4624,81.403,,94.2125,1.07056,8.34545,46.0397,1,
부산연안4_환경관리,2007-11-01,129.09278,35.08583,14.0,356.0,33.19,16.4,1.09,4.1,6.09,8.02,339.0,8.0,29.0,115.0,,169.0,0.88,45.0,40.0,1,
부산연안5_환경관리,2007-02-01,129.04583,35.0475,21.0,176.377,33.97,12.02,0.64273,12.38,9.59616,7.75,261.105,8.79905,18.9187,90.3325,,134.458,0.769697,35.326,36.0697,1,
부산연안5_환경관리,2007-05-01,129.04583,35.0475,22.5,497.732,33.82,13.34,2.34671,6.7,8.754,8.11,304.599,8.62509,9.57917,160.528,,248.992,0.574385,29.7347,30.0,1,
부산연안5_환경관리,2007-08-01,129.04583,35.0475,26.0,491.014,34.47,17.72,1.95808,7.0,7.03308,7.85,453.289,7.60638,25.2704,3.57332,,19.0623,0.665046,7.88255,41.6072,1,
부산연안5_환경관리,2007-11-01,129.04583,35.0475,23.0,337.0,33.75,16.4,2.97,5.8,6.44,7.84,437.0,7.0,30.0,151.0,,169.0,0.49,11.0,37.0,1,
삼척연안4_연안,2007-02-01,129.3669444,37.23333333,46.0,112.551,33.07,9.29,3.708,4.2,8.48,7.99,133.363,5.175,11.74,53.043,,77.382,0.95,19.164,31.731,1,
삼척연안4_연안,2007-05-01,129.3669444,37.23333333,53.0,117.607,33.64,5.27,0.632,1.4,8.35709,7.81,370.169,14.0,21.359,43.503,,64.575,0.706667,7.072,27.0,1,
삼척연안4_연안,2007-08-01,129.3669444,37.23333333,50.0,421.575,34.04,5.9,0.49216,2.2,7.96,7.75,171.892,5.561,15.77,62.6197,,206.57,1.27846,138.389,33.0,1,
삼척연안4_연안,2007-11-01,129.3669444,37.23333333,51.0,184.611,33.92,15.93,0.851,2.8,7.66712,7.92,273.805,2.771,8.43,37.552,,44.83,0.9988,4.507,20.627,1,
삼척연안H2_항만,2007-02-01,129.3444444,37.22777778,9.0,166.037,32.91,12.07,1.45,3.0,8.33,8.03,183.512,4.644,20.236,17.367,,75.054,1.39,53.043,24.836,1,
삼척연안H2_항만,2007-08-01,129.3444444,37.22777778,8.0,510.418,34.13,12.64,0.19982,4.2,7.26,7.97,217.681,3.572,8.729,70.7259,,106.017,1.19856,31.7195,34.0,1,
서귀포연안2_연안,2007-02-01,126.4125,33.22944444,33.0,241.14,34.3921,15.4699,0.72748,2.0,7.85901,8.05,308.172,4.24948,11.679,109.85,,121.308,0.489024,7.20866,28.2435,2,
서귀포연안2_연안,2007-05-01,126.4125,33.22944444,26.0,442.686,34.3456,15.6216,0.38135,2.0,8.14966,8.1,187.893,5.40541,4.63933,30.6927,,42.7614,0.45,6.66333,12.309,2,
서귀포연안2_연안,2007-08-01,126.4125,33.22944444,23.6,752.0,33.82,19.52,1.05,4.1,6.31,8.12,251.0,6.0,5.0,72.0,,84.0,0.51,6.0,23.0,2,
서귀포연안2_연안,2007-11-01,126.4125,33.22944444,23.0,699.0,34.07,22.07,0.76,1.7,8.37,8.19,189.0,2.0,4.0,53.0,,69.0,0.4,14.0,14.0,2,
아산연안3_연안,2007-02-01,126.5194444,37.08888889,23.0,570.9,31.6,4.64,1.37416,26.4,9.3,8.07,443.563,3.0,31.0,360.0,,376.0,0.97559,13.0,49.5,1,
아산연안3_연안,2007-05-01,126.5194444,37.08888889,27.5,476.0,31.64,11.53,0.81936,15.4,8.81,7.97,283.628,7.0,12.1,239.0,,259.0,0.85656,13.0,80.4418,1,
아산연안3_연안,2007-08-01,126.5194444,37.08888889,30.0,293.0,30.41,22.8,3.32312,18.8,6.96,7.89,280.025,38.0,30.3357,168.375,,214.901,0.809094,8.52564,41.8696,1,
아산연안3_연안,2007-11-01,126.5194444,37.08888889,28.0,552.0,30.68,16.77,1.608,16.0,6.78,7.92,256.676,27.0,18.0,152.0,,210.0,0.705385,31.0,46.2,1,
양양연안1_연안,2007-02-01,128.7502778,38.0125,32.0,75.106,32.99,8.48,0.992,5.2,8.65,8.0,200.925,4.275,17.538,44.291,,54.634,1.12,6.068,33.748,1,
양양연안1_연안,2007-05-01,128.7502778,38.0125,31.0,166.692,33.73,10.93,0.49,3.2,8.64,8.09,92.564,4.9,9.0,42.637,,86.971,0.9,39.434,18.0,1,
양양연안1_연안,2007-08-01,128.7502778,38.0125,30.0,139.63,33.92,7.95,0.88188,1.2,7.47,7.72,74.9784,2.307,10.644,6.6988,,19.5316,1.03875,10.5258,23.0,1,
양양연안1_연안,2007-11-01,128.7502778,38.0125,27.0,144.687,33.51,14.68,0.424,4.8,7.73146,7.91,219.565,2.279,9.702,29.713,,55.931,1.27846,23.939,19.509,1,
양양연안2_연안,2007-02-01,128.8016667,37.94972222,28.0,126.128,33.08,5.48,0.594,3.6,8.42,7.84,192.478,4.428,15.035,19.208,,31.436,0.8,7.8,74.767,1,
양양연안2_연안,2007-05-01,128.8016667,37.94972222,30.0,226.292,33.64,13.31,0.532,1.8,8.36,8.15,53.406,2.3,13.765,46.606,,79.812,0.9288,30.906,22.0,1,
양양연안2_연안,2007-08-01,128.8016667,37.94972222,28.0,210.945,34.15,9.83,0.25464,0.4,7.53,7.74,114.566,7.227,13.489,3.98777,,39.1649,0.958848,27.9502,23.0,1,
양양연안2_연안,2007-11-01,128.8016667,37.94972222,27.0,66.283,33.5,14.57,0.365,5.0,7.93471,7.8,243.666,1.027,6.15,15.652,,42.066,1.27846,25.387,13.0,1,
완도연안4_환경관리,2007-02-01,126.73889,34.24444,30.0,803.0,,9.97,0.94,25.0,8.57,8.09,439.0,3.0,15.0,255.0,,272.0,1.44,15.0,41.0,1,
완도연안4_환경관리,2007-05-01,126.73889,34.24444,33.0,741.0,33.85,13.34,6.74016,28.0,9.03,8.14,343.098,4.256,17.1368,155.428,,168.28,0.671866,8.596,58.0,1,
완도연안4_환경관리,2007-08-01,126.73889,34.24444,31.0,864.0,34.85,19.53,4.2,10.0,7.52,7.98,305.0,3.0,2.0,15.0,,54.0,0.39,36.0,27.0,1,
완도연안4_환경관리,2007-11-01,126.73889,34.24444,32.5,827.0,33.08,16.41,2.93,7.2,7.84,7.83,353.0,20.0,2.0,127.0,,164.0,0.42,16.0,76.0,1,
울산연안1_환경관리,2007-02-01,129.47667,35.52056,50.0,213.924,34.05,11.3,1.40504,5.615,8.68618,7.77,405.431,6.3276,26.281,121.347,,133.019,0.962122,5.345,40.6362,1,
울산연안1_환경관리,2007-05-01,129.47667,35.52056,43.0,496.061,34.25,10.48,1.20325,20.135,8.489,8.02,556.403,6.30019,13.103,199.906,,166.374,0.797757,23.5447,19.0,1,
울산연안1_환경관리,2007-08-01,129.47667,35.52056,44.0,459.642,35.14,10.39,1.10609,8.3,7.72811,7.8,705.092,6.58724,39.1825,202.673,,217.374,0.567722,8.114,73.1666,1,
울산연안1_환경관리,2007-11-01,129.47667,35.52056,50.0,414.0,34.23,12.07,0.27,3.1,5.65,7.91,596.0,5.0,41.0,246.0,,259.0,0.5,8.0,42.0,1,
전주포연안2_연안,2007-02-01,126.4333333,35.8375,19.3,457.256,32.21,6.12,4.7816,11.8,10.6365,8.09,591.51,3.57381,24.3059,272.12,,309.557,2.30667,33.8635,44.5754,2,
전주포연안2_연안,2007-05-01,126.4333333,35.8375,13.0,297.355,32.06,13.71,2.73868,4.4,9.43983,8.16,45.0169,0.503312,49.8302,134.358,,164.826,1.16,29.9651,95.3511,2,
전주포연안2_연안,2007-08-01,126.4333333,35.8375,15.0,848.13,30.27,23.65,2.00082,12.2,9.51417,8.02,392.108,16.8148,8.27516,114.715,,185.052,1.04,53.5225,26.6664,2,
전주포연안2_연안,2007-11-01,126.4333333,35.8375,20.0,525.3,30.89,16.27,0.0521,51.2,7.7,7.89,69.0,10.1,61.0,216.6,,233.9,2.28,7.2,83.0,2,
전주포연안3_연안,2007-02-01,126.3777778,35.77083333,17.8,485.815,32.51,6.23,1.38122,10.4,10.4713,8.07,685.158,3.42109,28.2593,362.819,,376.274,2.22667,10.0336,41.0,2,
전주포연안3_연안,2007-05-01,126.3777778,35.77083333,15.5,418.797,32.22,12.83,2.91758,5.8,9.61737,8.03,37.4326,0.866814,44.684,124.484,,171.824,1.36,46.4729,99.5599,2,
전주포연안3_연안,2007-08-01,126.3777778,35.77083333,17.0,513.456,31.03,23.52,0.56312,6.6,7.16751,7.94,128.019,4.92207,5.04268,16.1394,,51.1824,0.64,30.1209,14.8685,2,
전주포연안3_연안,2007-11-01,126.3777778,35.77083333,18.0,565.2,31.05,16.48,0.0535,43.4,9.89,8.15,70.0,8.7,68.0,479.1,,495.6,1.35,7.8,96.0,2,
전주포연안6_연안,2007-02-01,126.4416667,35.61666667,12.8,470.193,32.36,6.28,6.21028,17.6,10.8999,8.04,500.729,0.73309,19.0348,292.997,,333.507,2.18667,39.7761,30.6365,1,
전주포연안6_연안,2007-05-01,126.4416667,35.61666667,14.0,238.587,32.16,16.31,0.24056,5.4,9.20537,7.61,51.378,0.279618,54.2233,37.4922,,67.5575,1.6,29.7857,99.1245,1,
전주포연안6_연안,2007-08-01,126.4416667,35.61666667,13.0,769.665,30.41,26.53,2.77438,5.6,7.77311,8.05,130.434,7.05053,4.65478,24.0725,,54.1385,1.04,23.0155,35.5552,1,
전주포연안6_연안,2007-11-01,126.4416667,35.61666667,10.0,544.1,30.55,16.06,0.0784,27.6,8.9,8.12,80.0,6.9,51.0,139.0,,154.1,1.51,8.2,67.0,1,
제주연안2_연안,2007-02-01,126.4277778,33.50055556,25.0,424.313,34.3549,14.8843,0.82159,1.7,8.09984,8.03,262.312,3.59571,13.6255,111.69,,135.361,0.419163,20.0747,20.9274,1,
제주연안2_연안,2007-05-01,126.4277778,33.50055556,25.0,542.504,34.3475,15.6744,0.49244,2.8,8.51636,8.09,179.203,2.42758,6.58486,31.226,,52.6916,0.37,19.0381,15.7813,1,
제주연안2_연안,2007-08-01,126.4277778,33.50055556,17.0,650.0,34.07,19.94,0.75,2.0,6.6,8.06,317.0,3.0,7.0,91.0,,106.0,0.05,12.0,17.0,1,
제주연안2_연안,2007-11-01,126.4277778,33.50055556,27.0,849.0,34.09,20.14,0.56,1.0,8.04,8.14,351.0,5.0,15.0,140.0,,146.0,0.17,0.0,20.0,1,
조천연안2_연안,2007-02-01,126.7327778,33.57388889,38.0,311.859,34.31,14.7792,0.52289,3.6,8.11221,8.12,269.115,5.75314,12.8768,111.44,,128.325,0.0465737,11.1324,34.3686,1,
조천연안2_연안,2007-05-01,126.7327778,33.57388889,33.0,580.104,34.3577,15.6831,0.47967,2.2,8.0635,8.01,172.31,3.88412,7.18348,21.3729,,51.9103,0.32,26.6533,20.6424,1,
조천연안2_연안,2007-08-01,126.7327778,33.57388889,42.9,777.0,33.99,20.32,2.45,3.6,7.1,8.25,151.0,1.0,1.0,27.0,,36.0,0.06,8.0,12.0,1,
조천연안2_연안,2007-11-01,126.7327778,33.57388889,40.0,828.0,34.0,19.91,1.2,0.9,7.53,8.16,340.0,5.0,13.0,147.0,,155.0,0.19,3.0,21.0,1,
조천연안3_연안,2007-02-01,126.6663889,33.56055556,15.0,311.859,34.4279,14.6854,1.09433,2.5,8.00876,8.05,279.446,4.60905,12.2779,104.788,,120.073,0.357065,10.6761,26.8824,1,
조천연안3_연안,2007-05-01,126.6663889,33.56055556,25.0,569.014,34.3024,15.7113,0.61466,2.1,8.14454,8.08,142.942,7.67114,4.78898,20.1721,,36.4104,0.9,8.56714,24.9827,1,
조천연안3_연안,2007-08-01,126.6663889,33.56055556,28.6,681.0,32.6,24.95,1.87,4.1,7.46,8.27,100.0,1.0,1.0,8.0,,15.0,0.2,6.0,10.0,1,
조천연안3_연안,2007-11-01,126.6663889,33.56055556,28.0,819.0,33.96,20.26,1.48,1.9,8.16,8.17,280.0,4.0,9.0,102.0,,107.0,0.23,1.0,20.0,1,
주문진연안1_연안,2007-02-01,128.8375,37.88583333,12.0,91.634,32.91,8.6,1.448,3.0,9.47,8.09,225.417,4.477,17.809,44.456,,61.71,0.83,12.777,39.873,1,
주문진연안1_연안,2007-05-01,128.8375,37.88583333,13.0,138.326,33.74,14.8,0.396,3.2,8.44,8.14,52.805,3.9,6.735,40.753,,80.085,1.2424,35.432,24.344,1,
주문진연안1_연안,2007-08-01,128.8375,37.88583333,13.0,152.656,34.05,13.81,0.52116,1.4,8.1,7.66,84.6409,1.734,10.45,3.91587,,14.8243,0.759088,9.17448,19.0,1,
주문진연안1_연안,2007-11-01,128.8375,37.88583333,11.0,146.663,33.58,14.07,0.466,7.4,7.71298,7.91,290.992,3.827,5.498,48.0,,64.556,1.9976,12.729,26.999,1,
주문진연안2_연안,2007-02-01,128.8466667,37.88777778,22.0,165.498,32.93,8.64,1.278,3.4,9.13,7.91,231.852,4.444,17.697,31.747,,45.885,0.83,9.694,46.0,1,
주문진연안2_연안,2007-05-01,128.8466667,37.88777778,22.0,202.216,33.75,14.56,0.644,2.6,8.8,8.09,56.9,4.1,19.541,40.013,,76.503,0.8504,32.39,26.0,1,
주문진연안2_연안,2007-08-01,128.8466667,37.88777778,21.0,215.092,34.15,11.89,0.28972,0.2,8.2,7.46,160.0,2.374,7.881,6.97164,,80.3234,0.838992,70.9778,14.0,1,
주문진연안2_연안,2007-11-01,128.8466667,37.88777778,11.0,152.913,33.44,13.77,0.798,2.2,7.87168,7.98,289.852,3.706,11.619,45.856,,60.039,1.55813,10.477,21.776,1,
주문진연안3_연안,2007-02-01,128.8522222,37.89416667,26.0,97.099,33.24,8.45,0.786,2.2,8.61,7.96,269.579,4.444,17.032,25.484,,39.363,0.96,9.435,43.176,1,
주문진연안3_연안,2007-05-01,128.8522222,37.89416667,29.0,126.976,33.86,10.61,0.314,1.6,8.79,8.14,68.3,4.2,10.89,42.481,,78.886,1.1248,32.205,15.885,1,
주문진연안3_연안,2007-08-01,128.8522222,37.89416667,26.0,418.274,34.15,9.57,0.71368,0.6,7.66,7.37,116.585,5.383,18.703,84.2927,,122.533,1.35837,32.8574,27.0,1,
주문진연안3_연안,2007-11-01,128.8522222,37.89416667,22.0,80.264,33.53,14.53,0.611,2.0,7.96623,7.93,242.77,0.581,4.122,16.239,,27.464,1.9942,10.644,18.0,1,
주문진연안4_연안,2007-02-01,128.8525,37.91888889,37.0,109.565,33.07,8.36,0.712,2.4,8.28,7.97,272.132,4.657,19.27,17.627,,30.622,0.85,8.338,19.543,1,
주문진연안4_연안,2007-05-01,128.8525,37.91888889,37.0,103.195,33.69,12.24,1.2,1.8,8.76,8.18,112.546,4.8,10.044,57.29,,90.769,1.2032,28.679,15.913,1,
주문진연안4_연안,2007-08-01,128.8525,37.91888889,36.0,275.408,34.13,7.79,0.69544,3.0,7.56,7.49,124.877,5.633,25.817,118.409,,170.057,0.519376,46.0146,35.0,1,
주문진연안4_연안,2007-11-01,128.8525,37.91888889,34.0,77.0,33.63,14.89,0.556,1.4,7.85552,7.84,218.922,2.453,7.416,14.759,,24.359,1.63803,7.147,23.124,1,
